area 1,area 0,area 2
agua1253,apal1257,boro1282
ayac1239,apur1254,cane1242
bora1263,araw1276,cavi1250
caja1238,arhu1242,colo1256
call1235,awac1239,daww1239
cent2142,awet1244,gavi1246
chay1248,baur1253,hupd1244
chip1262,chim1309,juru1256
cube1242,chol1284,kari1311
cusc1236,coca1259,karo1305
desa1247,emer1243,maku1278
hual1241,hixk1239,nort2972
huay1240,ikpe1245,saba1268
imba1240,kama1373,saki1248
inga1252,kana1291,ship1254
jama1261,lako1248,uruu1244
jaqa1244,mapu1245,wayo1238
jauj1238,moco1246,xava1240
mats1244,mund1330,yami1256
nort2980,nhen1239,
paca1245,nina1238,
sala1272,pare1272,
sanm1289,pila1245,
sant1432,rikb1245,
shua1257,sate1243,
sout2990,tapi1253,
sout2991,tehu1242,
tari1256,trio1238,
tena1240,wari1268,
yauy1235,wich1262,
,yane1238,
